'

"Prov/Terr","FSA","Total","Total income","Net income","Taxable income"
10,"A0A",40260,1850812,1727335,1636167
10,"A0B",17610,785194,736759,702065
10,"A0C",10940,429785,407569,383404
10,"A0E",19340,836531,784424,742670
10,"A0G",30770,1180595,1111869,1047064
10,"A0H",15380,570407,536482,505707
10,"A0J",6950,290499,274916,258778
10,"A0K",22500,964101,910829,854693
10,"A0L",6800,309349,286947,275587
10,"A0M",5200,224915,208649,199409
10,"A0N",12410,439719,416863,383793
10,"A0P",9950,539019,500456,455684
10,"A0R",2000,168605,154394,142721
10,"A1A",23950,1616313,1468633,1424703
10,"A1B",16830,912244,834536,801840
10,"A1C",10570,577862,535351,495888
10,"A1E",22380,1153168,1062639,1014826
10,"A1G",4730,246775,226199,218419
10,"A1H",4750,407919,369125,347813
10,"A1K",10140,685647,626585,609812
10,"A1L",17140,1128596,1026078,1005230
10,"A1M",6770,475889,434809,419554
10,"A1N",19240,1049806,959895,932950
10,"A1S",5570,292187,268720,260563
10,"A1V",9770,535615,489736,477544
10,"A1W",9330,564973,516963,502970
10,"A1X",12600,667847,612826,590763
10,"A1Y",4690,201759,189160,178764
10,"A2A",7960,404825,372085,358154
10,"A2B",4080,155545,146046,137868
10,"A2H",21610,1043247,964074,927677
10,"A2N",7590,314456,292099,273312
10,"A2V",5920,506787,473290,440964
10,"A5A",7140,351635,325921,314945
10,"A8A",6020,255376,239847,229364
10,"Total",438870,22138004,20492109,19551662
11,"C0A",39770,1960892,1808061,1741004
11,"C0B",25720,1241760,1152435,1095313
11,"C1A",22470,1061497,981509,941312
11,"C1B",11460,680036,618571,603280
11,"C1C",4340,204658,189147,184521
11,"C1E",10270,530663,485060,469625
11,"C1N",15100,695554,641361,616124
11,"Total",129130,6375059,5876143,5651180
12,"B0C",2300,111141,104422,99125
12,"B0E",22040,933511,871378,832088
12,"B0H",8370,365828,342537,324897
12,"B0J",34260,1679406,1541715,1484249
12,"B0K",30290,1315491,1218150,1168062
12,"B0L",2080,79134,74023,69893
12,"B0M",14290,583995,545446,517685
12,"B0N",32880,1475483,1369728,1319012
12,"B0P",34020,1578580,1445943,1393957
12,"B0R",5120,215496,198315,188332
12,"B0S",15330,594696,552550,526009
12,"B0T",12940,538853,502065,476713
12,"B0V",5070,204223,192866,183829
12,"B0W",24060,1106755,1042590,991882
12,"B1A",12600,492719,461226,429629
12,"B1B",1100,48723,45362,43027
12,"B1C",1510,80674,75640,70848
12,"B1E",1360,51923,48517,45675
12,"B1G",1580,60357,56919,52839
12,"B1H",7970,313642,293048,271694
12,"B1J",1000,59691,55286,53532
12,"B1K",2750,145646,134058,129673
12,"B1L",4140,227330,206839,200335
12,"B1M",1070,50966,46787,45620
12,"B1N",4770,170494,161215,151874
12,"B1P",13280,513767,479898,456266
12,"B1R",3630,184765,168946,164933
12,"B1S",6980,330050,303690,291670
12,"B1T",320,14348,13147,12822
12,"B1V",5020,199534,186661,176140
12,"B1W",2260,15782,15308,12822
12,"B1X",740,41448,38189,35904
12,"B1Y",5180,242125,225416,216379
12,"B2A",6600,268281,249964,237545
12,"B2C",260,10884,10177,9811
12,"B2E",40,1529,1413,1323
12,"B2G",12210,638510,589473,565475
12,"B2H",12330,606650,548461,527374
12,"B2J",70,5723,5521,5003
12,"B2N",17160,759751,705796,679603
12,"B2R",2170,153594,137226,134293
12,"B2S",6430,336831,309930,302005
12,"B2T",14100,983661,886561,869508
12,"B2V",9950,597578,535920,527266
12,"B2W",27500,1514585,1370330,1343545
12,"B2X",9910,542360,490333,481629
12,"B2Y",12350,639321,581946,564126
12,"B2Z",7000,379678,345532,335520
12,"B3A",17460,828189,764413,738475
12,"B3B",1160,64323,60399,58802
12,"B3E",5780,320253,290831,285206
12,"B3G",8900,460908,421513,412844
12,"B3H",14360,1150854,1053714,1033323
12,"B3J",7370,493472,449885,436788
12,"B3K",17760,921329,844472,817845
12,"B3L",14350,821738,749123,733291
12,"B3M",29530,1518523,1394561,1357028
12,"B3N",11820,685294,627195,613544
12,"B3P",8850,531258,483795,470470
12,"B3R",7390,290407,269729,257197
12,"B3S",11190,569177,522330,512023
12,"B3T",14030,791362,718571,705578
12,"B3V",5030,287298,262385,257566
12,"B3Z",14210,943463,849591,832451
12,"B4A",15240,1053817,950002,929591
12,"B4B",14910,1061351,950511,931398
12,"B4C",15060,723312,659229,646809
12,"B4E",15560,850222,773829,759900
12,"B4G",4190,236709,214466,210999
12,"B4H",11280,490405,452990,429880
12,"B4N",15020,668022,614355,591880
12,"B4P",6810,360802,328726,318335
12,"B4R",2390,118395,107438,105017
12,"B4V",17740,786752,726705,696695
12,"B5A",13850,581570,543738,519304
12,"B6L",10750,531061,487425,472970
12,"B9A",3820,175015,162074,157496
12,"Total",794200,39780791,36520457,35314147
13,"E0A",0,0,0,0
13,"E0B",0,0,0,0
13,"E0C",0,0,0,0
13,"E0G",0,0,0,0
13,"E1A",38800,2105057,1917118,1877950
13,"E1B",16960,856563,784147,769697
13,"E1C",20910,812972,757115,726863
13,"E1E",9300,484409,445054,435111
13,"E1G",19900,1098992,997179,982554
13,"E1H",6620,332540,304065,296422
13,"E1J",2980,157759,144061,140636
13,"E1K",0,0,0,0
13,"E1N",9480,420177,388771,376010
13,"E1V",11350,535972,494754,478125
13,"E1W",6210,278377,261151,248678
13,"E1X",12470,499054,470220,444926
13,"E2A",15070,651583,604233,576973
13,"E2E",16200,1157312,1049107,1035999
13,"E2G",4280,268248,242680,235772
13,"E2H",3830,263894,239878,235023
13,"E2J",13220,535827,499574,484816
13,"E2K",14150,670441,618689,597573
13,"E2L",6390,257502,238312,221478
13,"E2M",15250,740368,678047,659898
13,"E2N",3650,184919,168674,165249
