"REF_DATE","GEO","DGUID","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","29.701","","","","3"
"1990-01","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","19.389","","","","3"
"1990-01","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","10.312","","","","3"
"1990-02","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","30.231","","","","3"
"1990-02","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","20.012","","","","3"
"1990-02","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","10.219","","","","3"
"1990-03","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","30.332","","","","3"
"1990-03","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","17.118","","","","3"
"1990-03","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","13.214","","","","3"
"1990-04","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","17.086","","","","3"
"1990-04","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.887","","","","3"
"1990-04","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.199","","","","3"
"1990-05","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","23.700","","","","3"
"1990-05","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","9.025","","","","3"
"1990-05","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","14.675","","","","3"
"1990-06","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","27.970","","","","3"
"1990-06","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","11.046","","","","3"
"1990-06","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","16.924","","","","3"
"1990-07","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","23.496","","","","3"
"1990-07","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","10.770","","","","3"
"1990-07","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","12.726","","","","3"
"1990-08","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","21.390","","","","3"
"1990-08","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","10.297","","","","3"
"1990-08","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","11.093","","","","3"
"1990-09","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","12.183","","","","3"
"1990-09","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.416","","","","3"
"1990-09","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.767","","","","3"
"1990-10","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","18.517","","","","3"
"1990-10","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.355","","","","3"
"1990-10","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","10.162","","","","3"
"1990-11","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","15.174","","","","3"
"1990-11","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","7.395","","","","3"
"1990-11","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","7.779","","","","3"
"1990-12","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","18.937","","","","3"
"1990-12","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","10.456","","","","3"
"1990-12","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.481","","","","3"
"1991-01","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","13.345","","","","3"
"1991-01","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","7.443","","","","3"
"1991-01","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.902","","","","3"
"1991-02","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","12.502","","","","3"
"1991-02","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","7.464","","","","3"
"1991-02","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.038","","","","3"
"1991-03","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.147","","","","3"
"1991-03","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.083","","","","3"
"1991-03","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","6.064","","","","3"
"1991-04","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","21.457","","","","3"
"1991-04","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.368","","","","3"
"1991-04","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","13.089","","","","3"
"1991-05","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","19.459","","","","3"
